| input_mode | latency_ms mean ± std | latency median | energy_mj_per_inference mean ± std | energy_mj_per_inference median |
| --- | --- | --- | --- | --- |
| real | 153.528 ± 0.050 | 153.522 | 7.8933 ± 0.0155 | 7.8911 |
| representative | 153.014 ± 0.037 | 153.005 | 7.8428 ± 0.0162 | 7.8398 |
| uniform | 153.529 ± 0.048 | 153.526 | 7.8951 ± 0.0184 | 7.8926 |

| channel | min | max | mean | std |
| --- | --- | --- | --- | --- |
| acc_x | -0.8661 | 0.7367 | -0.0667 | 0.1408 |
| acc_y | -2.9739 | 0.3820 | -0.4986 | 0.3445 |
| acc_z | -1.9338 | 0.9541 | -0.6345 | 0.4931 |
| gyr_x | -5.0260 | 4.1469 | 0.0113 | 0.4029 |
| gyr_y | -5.1539 | 5.9724 | 0.0538 | 0.4790 |
| gyr_z | -3.9232 | 4.7114 | 0.0525 | 0.5530 |
| mag_x | -38.5930 | 33.1510 | -2.1529 | 10.7490 |
| mag_y | -45.1180 | 24.2390 | -17.2792 | 15.3002 |
| mag_z | -49.0490 | 37.0140 | -18.4090 | 20.4030 |
| step | 0.0000 | 1.0000 | 0.0149 | 0.1212 |
